intravenous	O
azithromycin-induced	B-Drug
ototoxicity	B-ADR
0	O
<EOS>	O
immobilization	O
,	O
while	O
paget	O
bone	O
disease	O
wa	O
present	O
,	O
and	O
perhaps	O
enhanced	O
activation	O
of	O
dihydrotachysterol	B-Drug
by	O
rifampicin	O
,	O
could	O
have	O
led	O
to	O
increased	B-ADR
calcium-release	I-ADR
into	O
the	O
circulation	O
0	O
<EOS>	O
unaccountable	O
severe	O
hypercalcemia	B-ADR
in	O
a	O
patient	O
treated	O
for	O
hypoparathyroidism	O
with	O
dihydrotachysterol	B-Drug
0	O
<EOS>	O
method	O
:	O
we	O
report	O
two	O
case	O
of	O
pseudoporphyria	B-ADR
caused	O
by	O
naproxen	B-Drug
and	O
oxaprozin	O
0	O
<EOS>	O
method	O
:	O
we	O
report	O
two	O
case	O
of	O
pseudoporphyria	B-ADR
caused	O
by	O
naproxen	O
and	O
oxaprozin	B-Drug
0	O
<EOS>	O
naproxen	B-Drug
,	O
the	O
most	O
common	O
offender	O
,	O
ha	O
been	O
associated	O
with	O
a	O
dimorphic	O
clinical	O
pattern	O
:	O
a	O
pct-like	O
presentation	O
and	O
one	O
simulating	O
erythropoietic	B-ADR
protoporphyria	I-ADR
in	O
the	O
pediatric	O
population	O
0	O
<EOS>	O
result	O
:	O
a	O
44-year-old	O
man	O
taking	O
naproxen	B-Drug
for	O
chronic	O
low	O
back	O
pain	O
and	O
a	O
20-year-old	O
woman	O
on	O
oxaprozin	O
for	O
rheumatoid	O
arthritis	O
presented	O
with	O
tense	O
bulla	O
and	O
cutaneous	B-ADR
fragility	I-ADR
on	O
the	O
face	O
and	O
the	O
back	O
of	O
the	O
hand	O
0	O
<EOS>	O
result	O
:	O
a	O
44-year-old	O
man	O
taking	O
naproxen	O
for	O
chronic	O
low	O
back	O
pain	O
and	O
a	O
20-year-old	O
woman	O
on	O
oxaprozin	B-Drug
for	O
rheumatoid	O
arthritis	O
presented	O
with	O
tense	O
bulla	O
and	O
cutaneous	B-ADR
fragility	I-ADR
on	O
the	O
face	O
and	O
the	O
back	O
of	O
the	O
hand	O
0	O
<EOS>	O
result	O
:	O
a	O
44-year-old	O
man	O
taking	O
naproxen	B-Drug
for	O
chronic	O
low	O
back	O
pain	O
and	O
a	O
20-year-old	O
woman	O
on	O
oxaprozin	O
for	O
rheumatoid	O
arthritis	O
presented	O
with	O
tense	B-ADR
bulla	I-ADR
and	O
cutaneous	O
fragility	O
on	O
the	O
face	O
and	O
the	O
back	O
of	O
the	O
hand	O
0	O
<EOS>	O
result	O
:	O
a	O
44-year-old	O
man	O
taking	O
naproxen	O
for	O
chronic	O
low	O
back	O
pain	O
and	O
a	O
20-year-old	O
woman	O
on	O
oxaprozin	B-Drug
for	O
rheumatoid	O
arthritis	O
presented	O
with	O
tense	B-ADR
bulla	I-ADR
and	O
cutaneous	O
fragility	O
on	O
the	O
face	O
and	O
the	O
back	O
of	O
the	O
hand	O
0	O
<EOS>	O
background	O
:	O
how	O
to	O
best	O
treat	O
psychotic	O
patient	O
who	O
have	O
had	O
past	O
clozapine-induced	B-Drug
agranulocytosis	O
or	O
granulocytopenia	B-ADR
remains	O
a	O
problem	O
0	O
<EOS>	O
conclusion	O
:	O
the	O
result	O
suggest	O
that	O
olanzapine	O
may	O
be	O
useful	O
in	O
treating	O
patient	O
with	O
clozapine-induced	B-Drug
granulocytopenia	B-ADR
without	O
the	O
risk	O
of	O
recurrence	O
of	O
hematologic	O
side	O
effect	O
0	O
<EOS>	O
prolonged	O
severe	O
5-fluorouracil-associated	B-Drug
neurotoxicity	B-ADR
in	O
a	O
patient	O
with	O
dihydropyrimidine	O
dehydrogenase	O
deficiency	O
0	O
<EOS>	O
we	O
describe	O
the	O
side	O
effect	O
of	O
5-fu	B-Drug
in	O
a	O
colon	O
cancer	O
patient	O
who	O
suffered	O
severe	O
mucositis	O
,	O
desquamating	O
dermatitis	O
,	O
prolonged	O
myelosuppression	O
,	O
and	O
neurologic	B-ADR
toxicity	I-ADR
that	O
required	O
admission	O
to	O
the	O
intensive	O
care	O
unit	O
0	O
<EOS>	O
we	O
describe	O
the	O
side	O
effect	O
of	O
5-fu	B-Drug
in	O
a	O
colon	O
cancer	O
patient	O
who	O
suffered	O
severe	O
mucositis	O
,	O
desquamating	O
dermatitis	O
,	O
prolonged	B-ADR
myelosuppression	I-ADR
,	O
and	O
neurologic	O
toxicity	O
that	O
required	O
admission	O
to	O
the	O
intensive	O
care	O
unit	O
0	O
<EOS>	O
we	O
describe	O
the	O
side	O
effect	O
of	O
5-fu	B-Drug
in	O
a	O
colon	O
cancer	O
patient	O
who	O
suffered	O
severe	B-ADR
mucositis	I-ADR
,	O
desquamating	O
dermatitis	O
,	O
prolonged	O
myelosuppression	O
,	O
and	O
neurologic	O
toxicity	O
that	O
required	O
admission	O
to	O
the	O
intensive	O
care	O
unit	O
0	O
<EOS>	O
this	O
case	O
suggests	O
that	O
bh-ac	B-Drug
,	O
a	O
derivative	O
of	O
cytosine	O
arabinoside	O
(	O
1-beta-d-arabinofuranosylcytosine	O
)	O
could	O
be	O
a	O
cause	O
of	O
reversible	O
encephalopathy	B-ADR
syndrome	I-ADR
0	O
<EOS>	O
we	O
report	O
a	O
case	O
of	O
reversible	O
encephalopathy	B-ADR
syndrome	I-ADR
in	O
a	O
16-year-old	O
girl	O
with	O
acute	O
myelogenous	O
leukemia	O
(	O
aml	O
)	O
,	O
who	O
is	O
undergoing	O
during	O
consolidation	O
chemotherapy	O
composed	O
of	O
bh-ac	B-Drug
(	O
n4-behenoyl-1-beta-d-arabinofuranosyl	O
cytosine	O
)	O
and	O
idarubicin	O
0	O
<EOS>	O
we	O
report	O
a	O
case	O
of	O
reversible	O
encephalopathy	B-ADR
syndrome	I-ADR
in	O
a	O
16-year-old	O
girl	O
with	O
acute	O
myelogenous	O
leukemia	O
(	O
aml	O
)	O
,	O
who	O
is	O
undergoing	O
during	O
consolidation	O
chemotherapy	O
composed	O
of	O
bh-ac	O
(	O
n4-behenoyl-1-beta-d-arabinofuranosyl	O
cytosine	O
)	O
and	O
idarubicin	B-Drug
0	O
<EOS>	O
in	O
one	O
case	O
,	O
the	O
readministration	O
of	O
riluzole	B-Drug
wa	O
followed	O
by	O
the	O
relapse	O
of	O
hepatitis	B-ADR
0	O
<EOS>	O
we	O
report	O
the	O
case	O
of	O
two	O
patient	O
who	O
developed	O
acute	O
hepatitis	B-ADR
after	O
taking	O
riluzole	B-Drug
at	O
the	O
recommended	O
dose	O
(	O
100	O
mg	O
daily	O
)	O
for	O
7	O
and	O
4	O
week	O
,	O
respectively	O
0	O
<EOS>	O
lupus-like	B-ADR
syndrome	I-ADR
caused	O
by	O
5-aminosalicylic	B-Drug
acid	I-Drug
in	O
patient	O
with	O
inflammatory	O
bowel	O
disease	O
0	O
<EOS>	O
although	O
the	O
two	O
local	O
anesthetic	O
usually	O
do	O
not	O
cause	O
methemoglobinemia	B-ADR
,	O
we	O
suspect	O
that	O
the	O
displacement	O
of	O
lidocaine	B-Drug
from	O
protein	O
binding	O
by	O
bupivacaine	O
,	O
in	O
combination	O
with	O
metabolic	O
acidosis	O
and	O
treatment	O
with	O
other	O
oxidant	O
,	O
wa	O
the	O
reason	O
for	O
the	O
development	O
of	O
methemoglobinemia	O
0	O
<EOS>	O
methemoglobinemia	B-ADR
after	O
axillary	O
block	O
with	O
bupivacaine	B-Drug
and	O
additional	O
injection	O
of	O
lidocaine	O
in	O
the	O
operative	O
field	O
0	O
<EOS>	O
methemoglobinemia	B-ADR
after	O
axillary	O
block	O
with	O
bupivacaine	O
and	O
additional	O
injection	O
of	O
lidocaine	B-Drug
in	O
the	O
operative	O
field	O
0	O
<EOS>	O
we	O
report	O
a	O
patient	O
with	O
chronic	O
renal	O
failure	O
and	O
ischemic	O
heart	O
disease	O
who	O
developed	O
clinically	O
significant	O
methemoglobinemia	B-ADR
after	O
an	O
axillary	O
block	O
with	O
bupivacaine	B-Drug
and	O
additional	O
injection	O
